Time_selectNodeWithHighestDegree2_NL,Time_selectAllNeigbhorsOf1Node_NL
7.3,16.2
11.4,19.9
8.1,14.3
10.6,18.9
6.7,21.7
3.6,3.3
5.8,17.8
10,19.9
5.8,14.5
4.2,15.1
4,16.2
8.2,17.4
4.7,18.9
4.9,19.2
6.5,18.8
5.9,19.7
7.3,20.7
6.6,18.5
10.7,20.5
11.7,26.1
6.9,22.1
6.1,13.1
10.1,23.6
6.3,23
12.9,28
6.6,17.3
8.4,17.8
10,22.7
6.2,16.2
12.6,27.5
5.5,17.4
9.6,25.3
5.5,19.5
6.1,19.7
12.3,20.3
7.4,19
8.9,18.8
15.4,23.3
8.9,17.5
13.9,19.4
8.8,20
7.3,19.5
8.4,15.9
7.4,19.5
10,22.6
6.1,16.3
9.4,23
13.7,26.3
7.3,15.9
13.7,26.2
10,22
9.1,25.9
5.3,18.7
6.8,17.3
13.7,26.8
10.1,27.8
7.5,17.8
9.9,26.9
10.2,19.2
8.7,16.9
7.9,15.7
10.1,22.9
10.7,24.3
