Missed_selectNodeWithHighestDegree2_NL,,,,,,,,, :: Missed_selectAllNeigbhorsOf1Node_NL,,,,,,,,, :: Missed_selectMoreInterconnectedCluster2Clusters_NL,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,6.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 2.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 4.0,6.0,1.0,8.0,4.0,0.0,6.0,2.0,1.0,1.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 4.0,6.0,4.0,9.0,6.0,5.0,6.0,3.0,2.0,2.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
