Time_selectNodeWithHighestDegree2_MAT,Time_selectAllNeigbhorsOf1Node_MAT
10.7,20.1
13.2,20.3
12.1,21.7
10.1,20.1
9.9,18.5
13.2,25
9.7,20
12.5,23
10.1,21
2.8,9.1
3.4,8.3
2.5,9.1
3.4,8.3
4.7,11
3.4,10.1
3.4,10.1
4.1,11.5
19,5.3
25.8,3.5
19.5,2.2
27.5,6.9
22,2.4
27.8,6
24.1,4.2
5.8,4
7.4,15
10.6,26.3
15.7,23.5
14.7,23.2
16.2,27.8
14.8,24.5
14.4,20.4
13.4,26.4
15.8,26.3
13.6,30
16.9,26.2
13.3,24.5
13.7,23.7
18.2,29.6
13.4,18.7
16.7,22
17.2,30
11.9,26.1
13.8,21.3
16.8,28.4
15.2,26.7
8.3,14.3
12.1,19.3
17.4,28.5
6.4,14.4
8.1,18.8
11.4,23.4
8.1,19.8
12.3,26.5
12.7,22.5
15.9,25.4
12.5,20.5
16.6,27.5
