Time_selectNodeWithHighestDegree2_NL,,,,,,,,, :: Time_selectAllNeigbhorsOf1Node_NL,,,,,,,,, 
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 
10,5,5,9,6,6,12,5,7,8 :: 25,14,13,25,16,10,15,17,15,12 
11,9,14,9,12,11,6,15,12,15 :: 22,25,20,25,22,17,25,15,14,14 
12,7,8,14,4,8,5,5,6,12 :: 21,25,10,12,15,12,13,13,9,13 
15,15,14,11,10,9,9,8,8,7 :: 25,22,16,22,25,15,20,11,19,14 
12,7,13,3,6,12,5,3,3,3 :: 25,25,21,24,17,25,25,16,16,23 
5,3,4,2,4,3,4,5,2,4 :: 6,2,2,2,3,4,2,2,2,8 
10,5,6,4,4,5,6,6,7,5 :: 25,25,21,25,20,13,23,9,9,8 
13,12,8,11,9,8,13,10,7,9 :: 25,23,24,25,25,16,25,13,9,14 
11,5,4,8,4,6,6,5,5,4 :: 25,14,10,23,12,8,14,11,21,7 
5,3,4,5,4,4,5,4,4,4 :: 12,17,12,20,22,9,23,11,16,9
