Time_selectNodeWithHighestDegree2_MAT,Time_selectAllNeigbhorsOf1Node_MAT,Time_selectMoreInterconnectedCluster2Clusters_MAT
10.7,20.1,2.3
13.2,20.3,3.6
12.1,21.7,2.9
10.1,20.1,4.8
9.9,18.5,3
13.2,25,3.6
9.7,20,3.1
12.5,23,4.9
10.1,21,2.6
2.8,9.1,26.5
3.4,8.3,27
2.5,9.1,27.2
3.4,8.3,27
4.7,11,27.5
3.4,10.1,25.9
3.4,10.1,25.9
4.1,11.5,26.4
19,5.3,12
25.8,3.5,11.7
19.5,2.2,9.4
27.5,6.9,13.6
22,2.4,11.5
27.8,6,18.8
24.1,4.2,12
5.8,4,2.3
7.4,15,2.2
10.6,26.3,4.3
15.7,23.5,3.4
14.7,23.2,2.9
16.2,27.8,3.4
14.8,24.5,4.3
14.4,20.4,3.5
13.4,26.4,5.4
15.8,26.3,3.8
13.6,30,4.2
16.9,26.2,3.3
13.3,24.5,3.7
13.7,23.7,2.6
18.2,29.6,4.8
13.4,18.7,2.1
16.7,22,3.3
17.2,30,3.3
11.9,26.1,3.7
13.8,21.3,3.8
16.8,28.4,5.6
15.2,26.7,4.3
8.3,14.3,3
12.1,19.3,3.3
17.4,28.5,4.7
6.4,14.4,2.1
8.1,18.8,2.6
11.4,23.4,3.6
8.1,19.8,4.1
12.3,26.5,3.2
12.7,22.5,5
15.9,25.4,2.8
12.5,20.5,2.7
16.6,27.5,5.3
