Acc_neighbor_count_graph,Acc_neighbor_count_matrix
0.2,1.0
0.6,1.0
0.6,0.9
0.7,0.95
0.6,1.0
0.5,0.85
0.25,0.85
0.45,0.9
0.55,1.0
0.65,0.0
0.45,1.0
0.4,0.9
0.4,1.0
0.5,0.0
0.4,1.0
0.45,0.85
0.5,1.0
0.5,0.3
0.6,0.5
0.5,1.0
0.55,0.85
0.45,0.9
0.4,1.0
0.65,1.0
0.35,0.85
0.5,1.0
0.45,0.9
0.4,0.95
0.6,1.0
0.35,1.0
0.7,1.0
0.6,0.0
0.6,1.0
0.45,0.45
0.85,0.95
0.65,1.0
0.5,0.85
0.25,0.95
0.7,0.9
0.5,0.4
0.6,0.95
0.75,1.0
0.65,0.95
0.65,0.95
0.6,0.65
0.5,0.85
0.65,0.8
0.65,0.95
0.75,0.95
0.1,0.95
0.4,1.0
0.4,1.0
0.6,1.0
0.65,1.0
0.35,null
0.5,null
0.55,null
0.6,null


Time_neighbor_count_graph,Time_neighbor_count_matrix
1.05,4.4
6.3,7.5
5.8,7.05
6.7,8.55
6.85,7.85
9.7,7.6
9.55,8.0
9.4,5.4
8.0,5.2
7.6,8.15
9.0,4.15
9.55,3.5
7.35,6.2
8.05,3.95
4.6,5.1
9.9,6.25
5.75,7.3
4.7,8.75
8.25,7.75
9.6,5.45
9.0,8.85
9.8,6.25
4.5,7.7
7.95,4.9
6.55,7.3
5.1,8.0
6.3,6.1
7.0,5.6
5.95,6.65
4.45,5.05
9.5,4.95
4.4,4.75
6.45,3.7
5.3,5.8
6.15,8.7
5.35,4.8
8.35,6.8
9.95,7.25
6.65,7.5
3.2,9.9
9.55,8.35
9.3,4.25
8.7,6.85
8.5,4.95
8.05,4.55
5.55,2.8
6.8,9.8
5.3,8.3
5.5,5.6
2.75,5.4
6.0,4.0
7.5,7.1
9.8,6.8
5.4,4.75
6.6,null
9.45,null
8.15,null
7.4,null


