name	x	y
Myriel	280.62197732288627	408.9830697012708
Napoleon	203.50486929874157	514.3360062030692
Mlle.Baptistine	335.03351250611	344.03949530281704
Mme.Magloire	363.7945238060907	435.6501626418924
CountessdeLo	170.68718141976765	443.1159975818479
Geborand	156.87651442372496	471.0644019107864
Champtercier	182.16407032205504	490.15155000433606
Cravatte	144.2629557080727	424.12901477313665
Count	154.15304856380033	393.3754260636649
OldMan	162.12207988092518	361.3193795856166
Labarre	378.6598497843909	468.404816655094
Valjean	448.53289273389373	358.2916190300743
Marguerite	337.3550898586362	418.10698655896056
Mme.deR	554.8918517058408	425.84832848267416
Isabeau	325.1358593969865	381.36254685562085
Gervais	370.73189087631863	288.38905910627074
Tholomyes	331.5412812998964	467.10208774296495
Listolier	292.1616706519235	533.958496288537
Fameuil	317.170879034826	611.5509729438488
Blacheville	347.01359613855504	554.8372064348458
Favourite	366.06468927932076	616.2048458724855
Dahlia	282.2507447992436	577.9804188282993
Zephine	395.37250329665954	580.2551489571206
Fantine	409.2161942208564	475.48281049083687
Mme.Thenardier	501.3508564030465	396.3832208728028
Thenardier	458.4002942793624	307.6207734912236
Cosette	380.06041860501296	355.6545578666367
Javert	498.9820169660797	347.48720533502774
Fauchelevent	594.6914575658817	395.70264590303105
Bamatabois	507.3983200984977	439.33525534336275
Perpetue	467.15585707069715	588.6951160138055
Simplice	499.6144618838362	469.6950748714654
Scaufflaire	431.2763425935011	499.8620545432424
Woman1	571.7942316113704	400.5384824528277
Judge	470.7764398919762	522.1918743709731
Champmathieu	520.0775081953769	526.1117023065688
Brevet	570.1369624346604	449.18240611655295
Chenildieu	562.0726932683526	499.3975706077031
Cochepaille	459.40779624665555	475.3617760618117
Pontmercy	317.3059570021137	250.92837226633503
Boulatruelle	612.2050979942641	321.6363337221545
Eponine	479.2214915321137	253.3565186298678
Anzelma	573.2973416988992	318.31788891959343
Woman2	455.7331685420916	440.0698583735457
MotherInnocent	537.9692850858089	469.3473679174376
Gribier	698.4099159526502	475.7471865724497
Jondrette	721.5625105552378	163.57038824427883
Mme.Burgon	599.0722173211274	161.3503932566285
Gavroche	466.87269566629413	221.23637614051685
Gillenormand	337.76941117536126	291.4765713740338
Magnon	395.84916905093417	380.65879298151464
Mlle.Gillenormand	299.6685009736792	329.0131118224271
Mme.Pontmercy	206.89451309818932	247.1854473907308
Mlle.Vaubois	174.2218633568315	292.29624672391975
Lt.Gillenormand	275.91633153102447	254.47317070603083
Marius	391.0101574343674	250.93483388395072
BaronessT	286.1964289327236	194.38342797680457
Mabeuf	368.02870876190343	186.89872543082373
Enjolras	494.8351130232943	218.24314800971823
Combeferre	396.5014497142065	153.28123926149777
Prouvaire	510.1227016213156	115.12864493471038
Feuilly	383.7155441158744	121.19151246707408
Courfeyrac	478.72701577539385	158.3958061932697
Bahorel	425.15868088207753	105.24365139694518
Bossuet	429.07022919055237	201.82586983344748
Joly	445.09637228882764	137.54489969724156
Grantaire	472.07347160199015	82.6194941923406
MotherPlutarch	287.77550699145905	93.37414068280856
Gueulemer	525.1476169695709	297.9772943473117
Babet	566.0709027112205	295.5269938234749
Claquesous	564.132076313498	340.4116443198954
Montparnasse	536.7037202902688	250.96190855502533
Toussaint	426.8792994460562	437.55869153267184
Child1	597.7889050183624	195.6212139027184
Child2	561.8681861646899	119.31989932509056
Brujon	584.2732930878198	233.90945344918424
Mme.Hucheloup	534.1633348242818	133.02008759101767
