Acc_selectNodeWithHighestDegree2_NL,Acc_selectNodeWithHighestDegree2_MAT
1,0.7
0.6,0.7
1,0.8
0.9,0.8
0.6,0.7
0.9,0.4
1,0.9
1,0.5
1,0.7
1,0.8
0.9,0.6
0.8,0.6
0.9,0.7
0.9,0.5
0.8,0.9
0.9,1
0.9,0.6
0.9,0.9
0.9,0.8
0.9,0.9
0.9,0.7
0.9,0.8
0.9,0.7
0.9,0.8
0.8,0.8
1,0.6
1,0.8
1,0.9
1,0.8
0.8,0.6
1,0.6
1,0.7
0,0.8
1,0.4
1,1
1,0.7
1,0.6
1,1
1,0.9
1,0.9
1,0.9
1,0.8
0.9,0.9
1,0.8
1,0.6
1,0.7
1,0.8
1,0.9
1,0.6
1,0.8
0.9,0.5
1,0.8
1,0.9
1,0.7
0.8,0.4
1,0.63
1,0.925
0.8,0.836111111
1,null
1,null
1,null
1,null
1,null


Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectAllNeigbhorsOf1Node_MAT
0.955555556,0.671666667
0.911111111,0.888888889
0.780555556,0.772222222
0.822222222,0.825
0.352777778,0.922222222
0,0.511111111
0.869444444,0.977777778
0.825,0.250555556
0.941666667,0.880555556
0.955555556,0.866666667
0.922222222,0.703888889
0.961111111,0.763888889
0.95,0.703888889
0.833333333,0.902222222
0.9,0.602777778
0.883333333,0.602777778
0.966666667,0.797222222
0.975,0.875
0.961111111,0.672222222
0.727777778,0.783333333
0.827777778,0.415
0.511111111,0.875
0.880555556,0.813333333
0.952777778,0.521666667
0.563333333,0.713333333
0.755555556,0.822222222
0.9,0.9
0.830555556,0.866666667
0.711111111,0.794444444
0.605555556,0.713888889
0.866666667,0.671111111
0.813888889,0.599444444
0.766666667,0.696666667
0.838888889,0.083333333
0.83,0.868888889
0.861111111,0.824444444
0.816666667,0.697222222
0.827777778,0.533333333
0.788888889,0.925
0.472222222,0.977777778
0.822222222,0.822222222
0.644444444,0.687777778
0.630555556,0.908333333
0.872222222,0.426666667
0.861111111,0.686666667
0.8,0.7
0.688888889,0.95
0.833333333,1
0.877777778,0.819444444
0.8,0.919444444
0.8,0.98
0.797222222,0.783333333
0.908333333,0.963333333
0.944444444,0.794444444
0.763888889,0.521111111
0.783333333,0.8
0.961111111,0.7
0.633333333,1
0.838888889,null
0.963888889,null
0.933333333,null
0.913333333,null
0.661111111,null


Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectMoreInterconnectedCluster2Clusters_MAT
0.8,0.8
0.7,0.8
0.6,0.8
0.9,0.8
0.6,0.5
0.8,0.8
0.8,0.8
0.7,0.8
0.7,0.8
0.7,0.8
0.7,0.7
0.8,0.9
0.8,0.7
0.7,0.8
0.7,0.8
0.5,0.8
0.8,0.8
0.8,0.9
0.8,0.8
0.8,0.8
0.8,0.9
0.8,0.9
0.8,0.9
0.8,0.8
0.6,0.8
0.8,0.7
0.8,0.9
0.8,0.8
0.9,0.8
0.8,0.9
0.8,0.8
0.9,0.7
0.7,0.8
0.7,0.8
0.9,0.8
0.9,0.8
0.8,0.8
0.8,0.7
0.8,0.8
