Time_neighbor_one_step_arrow,,, :: Time_neighbor_two_step_arrow,,,
Q1,Q2,Q3,Q4 :: Q1,Q2,Q3,Q4
5,5,5,5 :: 5,8,10,4
4,1,2,2 :: 2,4,2,4
4,3,5,5 :: 6,6,6,3
5,4,1,5 :: 5,3,4,4
5,4,5,4 :: 2,3,2,1
5,5,5,5 :: 9,10,9,6
5,5,5,4 :: 3,10,10,6
5,4,5,4 :: 3,5,4,4
5,4,0,2 :: 3,4,4,4
5,4,2,5 :: 6,7,9,5
5,3,5,5 :: 8,8,9,5
5,5,5,5 :: 10,10,10,10
5,4,4,4 :: 8,6,10,7
5,5,5,5 :: 10,9,9,10
5,5,4,5 :: 9,7,5,6
5,5,5,4 :: 5,7,8,5
5,5,5,5 :: 6,7,9,9
5,5,5,5 :: 9,8,10,10
5,5,4,5 :: 8,10,9,5
5,4,5,5 :: 4,6,10,5
5,4,3,5 :: 6,8,9,10
5,5,5,5 :: 7,8,10,8
5,5,5,5 :: 10,10,10,10
5,5,4,5 :: 5,6,9,5
5,5,5,4 :: 5,0,10,4
5,5,5,4 :: 10,10,9,8
5,5,5,5 :: 10,10,10,10
4,5,5,3 :: 4,5,6,4
5,5,5,5 :: 8,10,10,6
4,3,4,5 :: 5,6,7,5
5,4,4,3 :: 4,6,5,4
5,5,5,5 :: 8,6,3,6
5,5,5,5 :: 10,0,6,5
5,5,5,5 :: 5,8,7,5
5,5,4,5 :: 10,10,10,10
5,5,5,5 :: 10,10,9,10
5,5,5,5 :: 10,10,10,10
5,4,5,5 :: 7,10,10,4
5,5,5,4 :: 9,10,9,8
5,5,3,5 :: 5,10,5,6
5,4,4,4 :: 0,5,7,4
5,2,5,4 :: 8,8,9,3
4,4,4,4 :: 6,9,7,6
5,5,5,5 :: 10,5,10,10
5,5,5,5 :: 8,7,6,8
5,4,5,5 :: 7,10,9,5
5,4,4,5 :: 8,6,10,4
5,3,3,5 :: 4,9,6,5
5,5,4,5 :: 7,7,5,7
5,5,5,5 :: 8,10,10,9
5,5,5,5 :: 9,10,10,6
5,4,4,5 :: 3,10,7,7
4,4,4,2 :: 5,9,10,8
5,5,5,5 :: 5,8,5,7
4,3,5,5 :: 6,10,10,5
5,3,5,5 :: 9,9,9,7
5,3,5,3 :: 8,7,7,6
5,5,5,5 :: 7,8,8,4
5,5,5,5 :: 4,10,10,5
5,5,5,5 :: 8,10,10,6
5,5,5,5 :: 7,8,7,3
5,4,5,4 :: 10,10,10,4
