Time_neighbor_one_step_tapered,,, :: Time_neighbor_two_step_tapered,,,
Q1,Q2,Q3,Q4 :: Q1,Q2,Q3,Q4
5,4,5,4 :: 3,5,3,4
2,1,2,2 :: 3,2,2,2
5,2,3,3 :: 4,6,0,3
3,3,2,2 :: 3,3,2,2
1,1,2,1 :: 0,1,1,1
5,5,4,5 :: 6,7,7,6
4,4,3,3 :: 5,5,9,5
5,3,4,3 :: 2,3,3,4
5,2,3,4 :: 2,3,5,3
5,4,4,5 :: 5,4,5,4
5,4,4,5 :: 4,10,9,5
5,5,5,5 :: 10,10,10,5
4,4,3,4 :: 8,4,6,6
5,5,5,5 :: 7,9,6,10
5,3,5,5 :: 9,10,10,5
5,3,5,3 :: 6,6,4,7
5,5,5,5 :: 7,6,9,2
5,5,5,5 :: 10,10,10,8
5,3,3,5 :: 7,5,2,3
5,4,4,5 :: 10,7,9,3
5,4,5,4 :: 7,6,5,5
4,5,5,5 :: 8,10,7,10
5,5,5,5 :: 10,10,10,10
5,5,5,5 :: 10,10,10,5
5,5,5,3 :: 8,5,7,5
5,5,4,5 :: 5,6,7,5
5,4,3,5 :: 10,8,6,10
5,5,3,5 :: 4,5,5,4
5,5,5,5 :: 10,10,10,5
5,3,3,5 :: 5,8,5,3
5,5,3,3 :: 5,10,6,4
5,4,5,5 :: 6,7,0,5
5,5,5,4 :: 5,3,6,3
5,5,5,3 :: 6,8,6,3
5,4,5,5 :: 6,10,6,6
5,5,5,5 :: 10,10,10,10
5,5,5,5 :: 10,10,10,10
5,5,4,5 :: 9,8,7,9
5,5,5,5 :: 6,9,8,5
5,5,5,5 :: 5,7,7,10
5,3,3,2 :: 3,5,6,4
5,5,5,5 :: 9,9,10,7
5,5,5,5 :: 6,5,4,3
4,5,3,4 :: 5,7,10,7
5,5,5,5 :: 10,8,6,10
5,5,5,5 :: 8,10,8,7
5,4,5,5 :: 7,6,7,3
5,5,5,5 :: 6,6,10,3
5,5,4,5 :: 6,6,5,5
5,5,5,5 :: 10,10,10,10
5,5,5,5 :: 10,10,8,10
5,4,5,5 :: 6,6,8,5
5,5,4,5 :: 4,6,10,8
5,5,5,5 :: 5,7,6,5
4,3,5,4 :: 5,8,4,5
4,5,5,4 :: 6,8,7,6
5,3,5,5 :: 8,8,6,4
5,5,4,5 :: 5,9,9,6
5,5,5,3 :: 7,8,4,4
5,4,5,5 :: 8,10,8,1
3,4,2,4 :: 10,2,2,1
5,3,4,3 :: 7,10,10,9
