Acc_neighbor_one_step_arrow,Acc_neighbor_one_step_tapered,Acc_neighbor_one_step_circular
0.75,1.0,0.75
0.5,1.0,0.5
1.0,1.0,0.75
1.0,1.0,0.0
0.75,1.0,0.25
0.75,0.75,0.75
1.0,1.0,0.75
0.75,1.0,0.75
0.75,1.0,1.0
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,1.0
0.25,0.75,0.5
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,0.5
1.0,1.0,1.0
1.0,1.0,0.75
1.0,0.75,0.75
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,1.0
0.5,1.0,0.5
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,0.75
1.0,1.0,1.0
1.0,1.0,0.75
1.0,1.0,0.75
1.0,0.5,0.75
1.0,1.0,1.0
1.0,1.0,0.75
1.0,0.75,0.75
1.0,1.0,0.75
1.0,0.75,1.0
1.0,0.75,0.75
1.0,1.0,0.75
1.0,1.0,1.0
1.0,0.75,0.75
1.0,1.0,1.0
0.75,0.5,0.75
1.0,1.0,0.75
1.0,0.5,1.0
1.0,0.75,0.75
0.75,1.0,1.0
0.75,1.0,0.75
1.0,0.75,0.75
1.0,1.0,0.75
1.0,1.0,0.75
0.5,1.0,0.75
1.0,1.0,0.75
1.0,0.5,0.75
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.75
0.75,1.0,1.0
1.0,1.0,0.75
1.0,1.0,1.0


Acc_neighbor_two_step_arrow,Acc_neighbor_two_step_tapered,Acc_neighbor_two_step_circular
0.75,0.75,0.75
0.75,0.25,0.5
0.25,0.75,0.0
0.25,0.25,0.25
0.5,0.75,0.25
0.5,0.75,0.0
0.0,0.75,0.25
0.25,0.5,0.25
0.5,0.0,0.25
0.0,0.25,0.25
0.25,0.75,0.0
0.0,0.75,0.0
0.75,0.25,0.0
0.0,0.25,0.25
