name	x	y
Zephine	541.3870080390152	476.09674421399495
Champmathieu	508.90119284727217	300.18095979178605
Count	381.6386417769832	370.6730677633495
Simplice	353.8732507132323	423.34323320066335
Tholomyes	491.90444858768234	453.46816859194325
Thenardier	400.93083850959016	466.8024784464129
Listolier	464.0798387856214	411.3955718565384
Napoleon	320.8364319888621	370.54172821299045
Brujon	349.99699140084556	502.46274545200197
Mme.Thenardier	387.61705912075126	496.0918951930365
Anzelma	341.178891124761	457.5860047944821
Brevet	461.1639057765698	259.85453228592735
Valjean	403.9819336126007	278.6694924076211
Gervais	361.31357223505944	239.1501325335266
Perpetue	414.54609322751804	424.322893297991
Babet	303.0781246002589	462.99301669878355
Cosette	451.92692992149097	498.4146805297228
Child2	263.2529942857028	444.3993877696341
Geborand	348.3857900736562	377.7252672887816
Child1	252.54771282860216	386.9257281622201
Mme.Magloire	323.00913117837564	265.1718685357021
Dahlia	534.2823671965646	411.46003951344437
Bamatabois	505.3991978849828	317.2414097309968
CountessdeLo	405.31351539477055	346.0405211207012
Mlle.Baptistine	295.04466235960484	296.35483779245277
Champtercier	301.61989334946554	352.78056047459074
Gueulemer	323.4578347897855	553.5296420098535
Cravatte	291.4175052732958	327.67168818468235
Blacheville	553.8516242904549	462.6925509786971
Judge	457.9876260594673	296.8222290886792
Favourite	482.1005328365326	390.991559506407
Myriel	352.9110028454454	316.23715192463385
Montparnasse	409.1071872119717	524.7312093212289
Fameuil	493.8545873197646	381.7489244499502
Chenildieu	402.3205902668551	293.8225452174704
Gavroche	289.4373871255209	498.98175987456034
Cochepaille	446.011061612313	332.6879632835294
Fantine	469.60244086097526	397.79478278102073
Claquesous	386.8586755449784	551.2950656004389
Marius	488.25259929929524	514.1828737604645
