name	x	y
almond	335.59	901.63
apricot	218.91	839.6
orange_flower	441.28	900.62
raisin	107.29	670.12
rose	592.47	797.72
pistachio	407.88	802.84
cherry	374.32	731.6
nectarine	461.21	752.81
date	319.71	783.31
sour_cherry	239	903
fruit	600.34	678.17
plum	613.13	947.62
brandy	676.7	882.91
fig	530.08	656.75
currant	671.65	771.42
citrus	607.53	726.17
angelica	359.05	971.6
cereal	438.02	365.98
oat	64.13	882.92
geranium	397.6	850.99
palm	863.86	843.19
bergamot	511.5	604.42
black_tea	611.97	631.67
clove	238.27	777.75
cashew	668.66	829.97
cognac	998.12	583.14
flower	745.64	613.19
mandarin	880.85	1257.8
laurel	919.68	395.55
rum	430.99	1131
licorice	685.91	721.58
mace	494.06	803.73
kiwi	789.04	1133.5
papaya	808.17	934.66
spearmint	697.29	928.23
saffron	1056.5	322.34
lobster	1024.5	679.02
tequila	1130.5	1058.5
cacao	481.69	854.8
violet	252.37	717.95
peppermint_oil	227.54	973.07
tangerine	613.87	1035.3
carob	369.35	509.13
jasmine	759.86	763.86
sour_milk	462.21	699
quince	749.87	811.89
octopus	1334.3	898.98
gin	518.97	942.87
concord_grape	572.31	897.05
rye_flour	367.91	304.48
chayote	831.48	889.29
litchi	746.65	867.46
truffle	972.87	299.83
liver	1101.6	168.31
lavender	762.67	455.57
guava	698.01	1171.8
chamomile	575.32	845.98
blueberry	799.42	1070.1
berry	580.16	1362.7
melon	973	1264
nira	1120.9	929.63
red_bean	1299.9	1198.8
citrus_peel	200.49	1136.8
malt	590.37	529.5
pork_liver	715.45	1261.4
eel	1359.6	1067.9
leek	661.61	344.64
parsnip	652.58	207.09
turnip	804.72	504.51
porcini	1147.3	342.4
scallop	1077	578.51
root	731.97	512.26
leaf	661.25	520.47
mussel	1199.4	774.65
ouzo	840.37	204.32
kale	739.81	356.59
yam	517.71	307.91
savory	574.65	371.87
cabernet	1051.9	269.23
cod	960.57	633.31
anise	501.83	427.47
caviar	1189.3	491.54
squid	1509.5	866.49
lovage	1031.7	625.83
corn_grit	913.54	480.05
chicory	750.34	297.46
veal	1064.8	423.34
endive	751.77	234.82
shellfish	1422.7	813.52
pimenta	816.89	655.45
haddock	911.65	564.55
beech	1136.8	442.73
balm	740.9	563.18
kelp	1196.2	828.27
seaweed	1275	1001.2
wasabi	1177.9	977.99
prawn	1059.9	1166.3
okra	1102.8	623.24
catfish	1391.7	667.54
herring	812.14	570.94
wood	993.23	394.56
fish	1342.5	807.69
lemongrass	896.92	976.91
shallot	1099.6	668.08
sake	1121.8	785.02
red_algae	1445.5	960.95
shrimp	1050.3	783.78
vegetable	1199.5	882.79
soybean	997.92	868.33
lime_juice	1075	1230.7
holy_basil	1101.6	871.42
sesame_oil	1424.2	750.43
radish	1343.4	949.85
clam	1275.3	805.68
green_tea	970.01	1021.3
tarragon	923.56	522.3
wine	1311.1	682.87
sherry	1004	536.26
pear	1047	913.67
oyster	1423.8	872.71
mackerel	1087.4	829.17
bay	945.34	350.46
sea_algae	817.83	697.7
mate	352.67	575.83
crab	1230.6	533.79
lentil	854.72	799.28
raw_beef	1452	1046.9
barley	580.31	472.97
pumpkin	980.71	826.03
artemisia	1450.3	1124.8
mango	701.54	1115.9
mint	982.95	973.14
avocado	1099	1110.7
lime	961.71	1190.2
cabbage	837.58	329.6
tuna	1596.9	866.78
salmon	1118.8	713.07
asparagus	986.1	437.8
smoke	1021.2	486.33
wheat_bread	1197.6	618.29
grape	611.13	1102
meat	1204.5	447.02
red_wine	933.54	679.02
swiss_cheese	1155.9	395.77
hop	513.76	168.46
carnation	1277.3	1278.9
feta_cheese	1547.7	615.27
lamb	1163.5	570.83
sumac	1054.9	1011.1
caraway	807.5	405.52
chip	1626.2	741.5
bacon	1545.7	107.07
bean	1963.9	473.67
kidney_bean	1858.5	815.67
chickpea	899.83	1073.1
tomato_juice	1771.7	937.12
olive	1549.1	371.26
moazzarella	1363.6	558.83
lettuce	1251.8	933.05
pimento	1276.5	363.5
fennel	1289.2	414.44
provolone	1448.7	516.58
turkey	1276.6	311.39
romano_cheese	1200.5	180.03
black_pepper	1663.5	317.59
thyme	1441	474.18
sage	1362.4	455.48
rosemary	1342.2	507.16
white_wine	1094.8	528.58
squash	833.58	137.57
white_bread	1117.5	100.12
bell_pepper	1725.9	541.04
cumin	915.44	930.39
oregano	1617.4	673.77
cilantro	1014.2	1067.1
coriander	798.71	1201.8
macaroni	1290.1	256.81
pork_sausage	1381.5	367.49
parmesan	1537	432.43
yogurt	913.02	885.44
broccoli	1450	128.91
butter	-34.478	650.52
milk	124.49	530.44
vanilla	48.811	605.98
cocoa	70.645	807.89
cream	-26.31	836.41
yeast	180.76	400.17
walnut	10.591	950.48
pecan	310.07	842.21
cinnamon	264.9	551.69
coffee	0.015039	1024.6
peppermint	343.85	678.22
apple	99.161	739.4
coconut	525.72	1068.7
ginger	953.87	781.19
nutmeg	153.57	602.89
sweet_potato	449.47	241.87
carrot	664.8	407.87
potato	844.65	265.32
broth	1471.6	319.64
pea	1445.4	601.08
rice	1327.9	759.25
soy_sauce	1296.7	853.72
rye_bread	746.74	147.78
hazelnut	699.68	675.07
zucchini	674.3	463.23
cucumber	1542.7	939.49
dill	1239.4	702.79
chive	1273.1	576.04
banana	625.51	1283.9
starch	1521	806.4
honey	1289.8	1124.5
pork	977.9	721.27
cider	1063.2	371.25
cranberry	422.74	1206.8
tamarind	1104.1	486.33
seed	574.67	239.85
maple_syrup	603.56	133.16
beet	651.28	280.68
whiskey	441.74	647.76
tea	540.94	755.47
pineapple	794.48	997.58
nut	520.66	523.34
elderberry	979.04	1118.1
ham	936.77	12.581
basil	1540.6	561.45
cheese	1749.3	409.08
parsley	1636.5	397.31
mustard	1194	660.54
orange	875.3	1150.9
orange_juice	598.84	1205.2
gelatin	524.68	1144.6
raspberry	502.42	1256.8
peach	701.67	1057.9
oatmeal	824.04	1333.2
mushroom	1664.7	471.29
cayenne	1523.1	670.82
corn	1623.4	542.21
scallion	1362.8	1003.2
cream_cheese	302.38	1033.5
onion	1711.1	692.4
garlic	1764.7	617.55
tomato	1661.1	610.89
celery	1376.1	288.12
beef	1547.4	491.38
pepper	880.02	1020
olive_oil	1443.7	416.94
vinegar	1304	629.34
peanut	662.29	570.56
bread	974.16	-63.482
cheddar	1353.8	48.173
lemon	988.93	1338.5
chicken	1554.2	295.27
lemon_juice	1005.1	1414.1
lard	213.15	476.92
egg	17.149	728.7
beer	895.44	606.8
wheat	50.301	467.04
